"profile_id","username","display_name","avatar_url","total_xp","season_id","week","weekly_xp","cumulative_xp","rank"
"464","zimmerallday","ZimmerAllDay??","https://pbs.twimg.com/profile_images/1753068660023803904/WQE8Sj71.jpg","1705982","1","13","44948","670902","43"
"19","beast_ico","IcoBeast.eth????","https://pbs.twimg.com/profile_images/1610827135978987522/qGWbuvec.jpg","843325","1","13","44447","413384","44"
"3029","SanjayWeb3","Sanjay","https://pbs.twimg.com/profile_images/1808961844045910016/145Ib6Vs.jpg","4023509","1","13","43843","1237581","45"
"5270","Gandhi_Strategy","Gandhi","https://pbs.twimg.com/profile_images/1961552229795500032/uwR498Pw.jpg","1670009","1","13","43083","845278","46"
"23609","yichuan_drive","??drive ?? ?? ??","https://pbs.twimg.com/profile_images/1962378482224177152/aewrdxjG.jpg","317916","1","13","42861","275846","47"
"28269","Wartask1","Wartask","https://pbs.twimg.com/profile_images/1941424229951348738/i76lQUOR.jpg","150900","1","13","42546","124565","48"
"13517","kriptobi","Kriptobi","https://pbs.twimg.com/profile_images/1856396220815548416/TD2TwGj-.jpg","164190","1","13","40312","127158","49"
"27129","kar4arodon","karcharodon","https://pbs.twimg.com/profile_images/1440364289836023808/vuG-FCV6.jpg","165571","1","13","39785","119815","50"
"22568","doxe_0x","doxe","https://pbs.twimg.com/profile_images/1964791400144281600/OfjbbQqW.jpg","352900","1","13","39554","306039","51"
"26094","dory_riley","Riley Dory (?,?)","https://pbs.twimg.com/profile_images/1964987006947110912/Q0lS9r0N.jpg","226295","1","13","39395","201194","52"
"3456","zera_chielo","Zera","https://pbs.twimg.com/profile_images/1943575742530433024/B2Tfe9o6.jpg","1909807","1","13","39293","890689","53"
"2116","0xAbhiP","Abhi","https://pbs.twimg.com/profile_images/1862162587976445952/30wBtaB0.jpg","5058050","1","13","38968","1664758","54"
"3713","ivan_nomadz","Ivan","https://pbs.twimg.com/profile_images/1907996869554483202/okroEniR.jpg","1017940","1","13","38616","630643","55"
"7421","dremondeth","dremond.eth ??","https://pbs.twimg.com/profile_images/1916370757502046209/qy_5-bNU.jpg","1154115","1","13","37700","651688","56"
"22299","nata_cryptogirl","Cryptogirl??","https://pbs.twimg.com/profile_images/1921606890762485760/ZrNQjXLK.jpg","306485","1","13","37413","272834","57"
"23839","CryptoTruthhh","Crypto.truth","https://pbs.twimg.com/profile_images/1945149964792823808/E4fTg2Zo.jpg","275572","1","13","37365","261219","58"
"15961","HakanWinners","Hakan","https://pbs.twimg.com/profile_images/1941437255832207360/uI5Au7wL.jpg","167823","1","13","37122","130475","59"
"25170","pekkahcu","furkaneth","https://pbs.twimg.com/profile_images/1959340305917804544/4FciTyUW.jpg","134668","1","13","37074","103693","60"
"450","resaang","Resaang","https://pbs.twimg.com/profile_images/1954353401619509248/YD3RW9Gu.jpg","2638607","1","13","36906","528443","61"
"11354","isnotberlin","Berlin??.ink ?????,?????","https://pbs.twimg.com/profile_images/1960073323301249024/N8yHpxnY.jpg","174671","1","13","36682","140757","62"
"25389","Belialoglu","Belial ?????,????? Anomage ?????,???","https://pbs.twimg.com/profile_images/1957319917071409152/_XN4J0VR.jpg","142604","1","13","36036","127406","63"
"26759","sakhavat1659570","sakhavat (?,G)","https://pbs.twimg.com/profile_images/1897573927884341248/enlhdmaw.jpg","43222","1","13","35890","38840","64"
"10115","arshiaxbt","arshia | ?:","https://pbs.twimg.com/profile_images/1959675374754754560/0Js7NPus.jpg","292389","1","13","35864","224326","65"
"25826","TinaPalesha","tina palesha ??","https://pbs.twimg.com/profile_images/1949845014902681600/suF0-Ylv.jpg","254135","1","13","35701","236443","66"
"27823","franborrajo","Mr. Phanter","https://pbs.twimg.com/profile_images/1959308252396572672/QxVRZPwp.jpg","109951","1","13","35655","89890","67"
"24657","AmirsadeghEth","Amirsadegh","https://pbs.twimg.com/profile_images/1956872470201307136/MwAT-ZWJ.jpg","93460","1","13","35433","44206","68"
"28492","Kilavv_","Kilavv","https://pbs.twimg.com/profile_images/1738207073614061568/qkm7sbVg.jpg","180415","1","13","35374","160503","69"
"5273","Jampzey","Jampzey.hl","https://pbs.twimg.com/profile_images/1944970434853920771/JzL2woNp.jpg","1891166","1","13","35317","1012818","70"
"31394","ruzgardmrglu","Mrt.eth","https://pbs.twimg.com/profile_images/1954978913634942976/awww1fpb.jpg","73104","1","13","35137","36543","71"
