"profile_id","username","display_name","avatar_url","total_xp","season_id","week","weekly_xp","cumulative_xp","rank"
"15889","0xyuvo","Furkan ?? (???)","https://pbs.twimg.com/profile_images/1948639798421327873/lu8hFoSD.jpg","2325","0",,"2325","2325","8691"
"26630","byTheGentleman","The Gentleman","https://pbs.twimg.com/profile_images/1938977408989659136/o1lInsvP.jpg","2325","0",,"2325","2325","8692"
"22600","100TrilionUSDC","PainB ??","https://pbs.twimg.com/profile_images/1963625194234302464/usx_dK0T.jpg","2324","0",,"2324","2324","8693"
"23477","0xdts2","?xdts ????","https://pbs.twimg.com/profile_images/1962101361987727360/o44aAbFa.jpg","2324","0",,"2324","2324","8694"
"21991","0xexel","??0xexel NOYA ??","https://pbs.twimg.com/profile_images/1964982883354832896/mbAuG0VC.jpg","2323","0",,"2323","2323","8695"
"9788","PascalBMS","PROGRAM base.eth ??,??","https://pbs.twimg.com/profile_images/1885647593885069312/QzNdex7e.jpg","2947","0",,"2947","2322","8696"
"10856","CR_Super_X","?? | Bird???","https://pbs.twimg.com/profile_images/1888054456698404865/5TsgUeWA.jpg","3486","0",,"3486","2321","8697"
"27675","Xuyin42","??","https://pbs.twimg.com/profile_images/1680771295028432896/VsdmtPeu.jpg","2321","0",,"2321","2321","8698"
"9284","yiizpp","M.???????","https://pbs.twimg.com/profile_images/1896861346215735296/52CIlFZy.jpg","2338","0",,"2338","2320","8699"
"24344","SpartapussNFT","Spartapuss","https://pbs.twimg.com/profile_images/1927497693225418752/w7rpu_Yq.jpg","2320","0",,"2320","2320","8700"
"21641","sheardy1w","sheardy.eth","https://pbs.twimg.com/profile_images/1942716640128323584/xCEzYl1r.jpg","2317","0",,"2317","2317","8701"
"9232","tianyayidao520","???? | Morph","https://pbs.twimg.com/profile_images/1924464508602556416/dBufNxDM.jpg","2816","0",,"2816","2316","8702"
"34281","SmartWeb3God","Smart Web3 God","https://pbs.twimg.com/profile_images/1832674715154182144/j5I9OaRv.jpg","2316","0",,"2316","2316","8703"
