profile_id,userkey,username,display_name,avatar_url,description,score,streak_days,total_xp,is_validator,season_0_xp,season_1_xp,season_0_weeks,season_1_weeks,status,userkeys_count,eth_addresses,created_at,last_updated
184,,cryptohuntz,cryptohuntz,https://pbs.twimg.com/profile_images/1861800279844208640/Vx1uAYWj.jpg,,1264,,82328,,,,,,ACTIVE,4,2,,
1,,ethos_network,Ethos,https://pbs.twimg.com/profile_images/1797826077194096640/d_YEoB8n.jpg,,2240,,6006699,,,,,,ACTIVE,3,1,,
7,,adipilla8708,DipStar.eth,https://pbs.twimg.com/profile_images/1950000466026233856/ZxT0MP6g.jpg,,1636,,589033,,,,,,ACTIVE,5,2,,
473,,0xMakesy,makesy 🟢,https://pbs.twimg.com/profile_images/1557078856753942530/KyKHxE38.jpg,,1899,,427878,,,,,,ACTIVE,4,2,,
15,,buz_eth,buz,https://pbs.twimg.com/profile_images/1930553588297629696/01_8nRBg.jpg,,1902,128,1828636,,,,,,ACTIVE,8,3,,
274,,Ready4Heady,Cookking/Ready4Heady,https://pbs.twimg.com/profile_images/1840859678533640192/vhfDpTbK.jpg,,1616,,132602,,,,,,ACTIVE,4,2,,
466,,HollanderAdam,Adam Hollander,https://pbs.twimg.com/profile_images/1952354341127417856/rqrl2pjJ.jpg,,1959,,303413,,,,,,ACTIVE,6,2,,
158,,sighduck,Sighduck,https://pbs.twimg.com/profile_images/1831463173125292032/oL3CEBy7.jpg,,1374,,38520,,,,,,ACTIVE,4,2,,
49,,camargitron,camargitron,https://pbs.twimg.com/profile_images/1922464463417978880/7RKHzY-9.jpg,,1820,9,615572,,,,,,ACTIVE,5,2,,
436,,Nu11byt3s,Nu11byt3s | 1nsolvent.eth,https://pbs.twimg.com/profile_images/1722695662800621568/5nepBYvt.jpg,,1279,,86870,,,,,,ACTIVE,4,2,,
17,,eskacie,sketch,https://pbs.twimg.com/profile_images/1963243355426463744/NWwcxwG_.jpg,,2288,180,11608692,,,,,,ACTIVE,7,2,,
26,,Lingain3,Lingain,https://pbs.twimg.com/profile_images/1776363816412209152/hpFUz8QK.jpg,,1558,,181944,,,,,,ACTIVE,4,2,,
52,,imjameshall,imjameshall.eth ✋ 🍌,https://pbs.twimg.com/profile_images/1967430216428474368/iWtUirbj.jpg,,2014,,1164907,,,,,,ACTIVE,6,2,,
446,,fluknowsbest,Flu 🦠,https://pbs.twimg.com/profile_images/1927637562388000770/ij5diImL.jpg,,1358,,67543,,,,,,ACTIVE,5,2,,
165,,Alphaverse_NFT,Alphaverse NFT Fund,https://pbs.twimg.com/profile_images/1868682716155183104/KH9rdNhL.jpg,,1241,,54669,,,,,,ACTIVE,4,2,,
77,,Shatt_Eth,ShattGPT (Shatt),https://pbs.twimg.com/profile_images/1728513167628939264/Ra96sHGp.jpg,,1983,,1302374,,,,,,ACTIVE,7,3,,
145,,JJangBang429,JJangBang.eth🧙‍♂️,https://pbs.twimg.com/profile_images/1778244127861133312/oQ6LC4g_.jpg,,2281,,1575823,,,,,,ACTIVE,6,2,,
133,,BdgeScott,scottco,https://pbs.twimg.com/profile_images/1957841901123481604/ZKpka0gJ.jpg,,2220,11,1560086,,,,,,ACTIVE,8,3,,
5,,yukokosaka,colorblock,https://pbs.twimg.com/profile_images/1963964150729539584/1xKAyQLV.jpg,,2193,97,3394180,,,,,,ACTIVE,7,2,,
